timestamp,TESTER_ID,CBU,CBUType,CBUHealthStatus,TempSetPoint,CurrentTemp,PrimaryAirTemp,SecondaryAirTemp,WaterPumpStatus,WaterValvePosition,PrePumpPressure,PostPumpPressure,DiffPumpPressure,HighWaterLevel,LowWaterLevel,CBUState,name,label
600,TK408008,2,Unpopulate,N/A,165,175,-1,-1,On,53,2720,3252,532,Pass,Pass,Active,TK408008_2,Normal
603,TK408008,2,Unpopulate,N/A,165,165,-1,-1,On,34,2460,2952,492,Pass,Pass,Active,TK408008_2,Normal
604,TK408008,2,Unpopulate,N/A,165,165,-1,-1,On,34,2460,2952,492,Pass,Pass,Active,TK408008_2,Normal
610,TK408008,2,Unpopulate,N/A,165,165,-1,-1,On,33,2467,2970,503,Pass,Pass,Active,TK408008_2,Normal
611,TK408008,2,Unpopulate,N/A,165,165,-1,-1,On,33,2467,2970,503,Pass,Pass,Active,TK408008_2,Normal
617,TK408008,2,Unpopulate,N/A,165,165,-1,-1,On,35,2782,3290,508,Pass,Pass,Active,TK408008_2,Normal
618,TK408008,2,Unpopulate,N/A,165,165,-1,-1,On,35,2782,3290,508,Pass,Pass,Active,TK408008_2,Normal
623,TK408008,2,Unpopulate,N/A,165,156,-1,-1,On,7,2797,2755,42,Pass,Pass,Stopping,TK408008_2,Abnormal
624,TK408008,2,Unpopulate,N/A,165,166,-1,-1,Off,7,2380,2335,45,Pass,Pass,Stopped,TK408008_2,Abnormal
625,TK408008,2,Unpopulate,N/A,165,166,-1,-1,Off,7,2380,2335,45,Pass,Pass,Stopped,TK408008_2,Abnormal
632,TK408008,2,Unpopulate,N/A,165,199,-1,-1,Off,7,10,16306,16296,Pass,Pass,Stopped,TK408008_2,Abnormal
633,TK408008,2,Unpopulate,N/A,165,208,-1,-1,Off,7,15,16311,16296,Pass,Pass,Stopped,TK408008_2,Abnormal
636,TK408008,2,Unpopulate,N/A,165,184,-1,-1,Off,7,17,16311,16294,Pass,Pass,Stopped,TK408008_2,Abnormal
639,TK408008,2,Unpopulate,N/A,165,188,-1,-1,On,255,3277,3232,45,Pass,Pass,Stopping,TK408008_2,Abnormal
642,TK408008,2,Unpopulate,N/A,165,179,-1,-1,On,217,2355,2300,52,Pass,Pass,Stopping,TK408008_2,Abnormal
645,TK408008,2,Unpopulate,N/A,165,194,-1,-1,On,67,2802,2755,47,Pass,Pass,Stopping,TK408008_2,Abnormal
648,TK408008,2,Unpopulate,N/A,165,199,-1,-1,On,255,12,16309,16297,Pass,Pass,Stopping,TK408008_2,Abnormal
649,TK408008,2,Unpopulate,N/A,165,199,-1,-1,On,255,12,16309,16297,Pass,Pass,Stopping,TK408008_2,Abnormal
654,TK408008,2,Unpopulate,N/A,165,125,-1,-1,On,0,3295,3250,45,Pass,Pass,Stopping,TK408008_2,Abnormal
